Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
476,Norchad Omier,24,LAC,PF,5,0,4.4,1.2,1.6,.750,0.0,0.2,.000,1.2,1.4,.857,.750,0.6,0.6,1.000,0.6,0.6,1.2,0.4,0.2,0.0,0.0,0.6,3.0,,omierno01
477,Tyler Smith,21,DAL,PF,10,0,11.0,1.1,3.1,.355,0.6,2.2,.273,0.5,0.9,.556,.452,0.2,0.4,.500,0.9,1.5,2.4,0.4,0.3,0.0,0.3,0.8,3.0,,smithty02
478,Kobe Bufkin,22,LAL,SG,16,1,7.4,0.9,3.1,.300,0.3,1.6,.192,0.6,1.5,.417,.350,0.7,0.8,.917,0.1,0.8,0.8,0.6,0.1,0.2,0.3,0.6,2.9,,bufkiko01
479,Cam Christie,20,LAC,SG,54,0,8.9,1.0,2.6,.384,0.2,0.9,.245,0.8,1.6,.461,.428,0.7,0.9,.760,0.4,1.1,1.4,0.6,0.3,0.1,0.4,0.4,2.9,,chrisca02
480,David Jones García,24,SAS,SF,11,0,6.2,1.2,2.3,.520,0.3,0.5,.600,0.9,1.8,.500,.580,0.3,0.5,.500,0.4,0.8,1.2,1.6,0.5,0.1,0.5,0.5,2.9,,jonesda06
481,Chris Paul,40,LAC,PG,16,0,14.3,1.1,3.5,.321,0.6,1.9,.333,0.5,1.6,.308,.411,0.1,0.1,.500,0.4,1.4,1.8,3.3,0.7,0.0,1.0,1.4,2.9,,paulch01
482,Duop Reath,29,POR,C,32,0,8.1,1.0,2.3,.446,0.7,1.7,.418,0.3,0.6,.526,.601,0.2,0.2,.833,0.3,0.9,1.2,0.3,0.2,0.3,0.2,0.9,2.9,,reathdu01
483,Tyus Jones,29,3TM,PG,65,10,14.4,1.1,3.2,.346,0.6,2.0,.277,0.5,1.2,.467,.434,0.1,0.1,.778,0.2,0.9,1.0,2.3,0.6,0.0,0.3,0.5,2.8,,jonesty01
483,Tyus Jones,29,ORL,PG,48,8,15.7,1.1,3.3,.342,0.6,2.1,.294,0.5,1.2,.429,.437,0.1,0.1,1.000,0.2,0.9,1.1,2.4,0.7,0.1,0.3,0.5,3.0,,jonesty01
483,Tyus Jones,29,DAL,PG,8,2,16.6,1.6,4.3,.382,0.5,2.4,.211,1.1,1.9,.600,.441,0.1,0.3,.500,0.1,1.0,1.1,3.8,0.4,0.0,0.6,0.6,3.9,,jonesty01
